Bank,Ch,MHz,Step,Mode,Skip,Select,Atten,Volume,Label
0,1,460.525,12.5,FM,,select,,vol2,"KNCOM P1","Kendall County Sheriff 1"
0,2,460.575,12.5,FM,,select,,vol2,"KNCOM F1","Kendall County Fire 1"
0,3,460.375,12.5,FM,,select,20,vol2,"KNCOM P2","Kendall County Sheriff 2"
0,4,462.975,12.5,FM,,select,,vol2,"KNCOM F2","Kendall County Fire 2"
0,5,155.475,5,FM,,select,,vol2,"ISPERN",
0,6,154.71,10,FM,,select,,,"ExecProt","IL Excecutive Protection"
0,7,155.46,5,FM,,select,,,"ISP HF4",
0,8,145.17,5,FM,,,,,"IHARC","IH repeater Naperville"
0,9,155.58,5,FM,,select,10,vol2,"Oswego","Oswego Police local comms"
0,10,146.52,5,FM,,,,,"SIMPLEX","2 meter simplex"
0,11,148.6,5,FM,,select,,,"ARMY JL","Army Elwood firing range"
0,12,154.95,5,FM,,select,,vol2,"CPAT","CPAT police surveillance"
0,13,145.77,10,FM,skip,select,,,"CARMA","CARMA 2m simplex frequency"
0,14,419.65,12.5,FM,skip,,,,"USPS INS",
0,15,52.525,10,FM,skip,,,,"6M smplx",
0,16,165.2875,12.5,FM,,select,,,"BATF",
0,17,42.5,10,FM,,select,,,"ISP mob","ISP mobiles"
0,18,154.695,5,FM,,select,,,"ISP HF2",
0,19,151.625,5,FMN,skip,select,,,"itinernt","Itinerant"
0,20,154.265,5,FM,,select,,,"NIFERN",
0,21,867.275,12.5,FM,skip,,,,"MG PD1","Montgomery Police dispatch"
0,22,154.04,5,FM,,select,,,"MG PD2","Montgomery Police discrete/Public Works"
0,23,123.05,25,AM,,select,,,"ISP HELO","ISP helicopters"
0,24,135.2,25,AM,,select,,,"Helo","helicopters"
0,25,123.5,25,AM,,select,,,"AUR APT","Aurora Airport"
0,26,169.5025,2.5,FM,skip,select,,,"wirl mic",
0,27,170.2251,0.1,FM,skip,,,,"wirl mic",
0,28,464.5,12.5,FM,skip,select,,,,
0,29,464.55,12.5,FM,skip,select,,,,
0,30,155.025,5,FM,,select,,,"ESMARN",
0,31,154.965,5,FM,,select,,,"ESDA",
0,32,45.44,10,FM,,select,,,"ESDA IL",
0,33,463.95,12.5,FM,skip,,,,"FV Mall1","Fox Valley Mall security"
0,34,463.40,12.5,FM,skip,,,,"FV Mall2","Fox Valley Mall maintenence"
0,35,452.4,12.5,FM,skip,,,,"TAXI AUR","Aurora Taxi"
0,36,414.75,12.5,FM,skip,,,,"Postal","US Postal Service"
0,37,469.0375,12.5,FM,skip,,,,"Culvers","Culvers drive up window"
0,38,410.35,12.5,FM,skip,select,,,"FERMILAB","Fermilab Batavia"
0,39,411.55,12.5,FM,skip,,,,"POST OFC","US Postal Service"
1,0,866.0375,12.5,FM,,,,,"Aurora T","Aurora city trunked system"
1,1,866.0625,12.5,FM,,,,,"Aurora T","Aurora city trunked system"
1,2,867.25,12.5,FM,,,,,"Aurora T","Aurora city trunked system"
1,3,867.625,12.5,FM,,,,,"Aurora T","Aurora city trunked system"
1,4,868.175,12.5,FM,,,,,"Aurora T","Aurora city trunked system"
1,5,868.2,12.5,FM,skip,,,,"Aurora T","Aurora city trunked system"
1,6,868.5375,12.5,FM,,,,,"Aurora T","Aurora city trunked system"
2,0,165.2875,12.5,FM,,select,,,"BATF",
2,1,173.8875,12.5,FM,,select,,,"BATF",
2,2,165.9125,12.5,FM,,select,,,"BATF",
2,3,165.2375,12.5,FM,,,,,"CUSTOMS",
2,4,165.2375,12.5,FM,,,,,"CUSTOMS","US Customs"
2,5,418.625,12.5,FM,,,,,"DEA","DEA"
2,6,418.9,12.5,FM,,,,,"DEA","DEA"
2,7,418.75,12.5,FM,,,,,"DEA","DEA"
2,8,418.675,12.5,FM,,,,,"DEA","DEA"
2,9,418.825,12.5,FM,,,,,"DEA","DEA"
2,10,418.95,12.5,FM,,,,,"DEA","DEA"
2,11,418.975,12.5,FM,,,,,"DEA","DEA"
2,12,418.175,12.5,FM,,,,,"DEA","DEA"
2,13,419.225,12.5,FM,,,,,"DEA","DEA"
2,14,419.25,12.5,FM,,,,,"DEA","DEA"
2,15,418.225,12.5,FM,,,,,"DEA","DEA"
2,16,418.2,12.5,FM,,,,,"DEA","DEA"
2,17,170.625,12.5,FM,,,,,"FBI",
2,18,170.5,12.5,FM,,,,,"FBI","FBI"
2,19,138.575,5.0,FM,,,,,"FEMA","FEMA"
2,20,410.35,12.5,FM,,select,,,"FERMI",
2,21,163.625,12.5,FM,,,,,"INS","US Immigration and Naturalization"
2,22,163.675,12.5,FM,,,,,"INS","US Immigration and Naturalization"
2,23,163.725,12.5,FM,,,,,"INS","US Immigration and Naturalization"
2,24,163.775,12.5,FM,,,,,"INS","US Immigration and Naturalization"
2,25,165.875,12.5,FM,,,,,"INS","US Immigration and Naturalization"
2,26,163.65,12.5,FM,,,,,"INS","US Immigration and Naturalization"
2,27,163.75,12.5,FM,,,,,"INS","US Immigration and Naturalization"
2,28,162.9,12.5,FM,,,,,"INS","US Immigration and Naturalization"
2,29,163.7,12.5,FM,,,,,"INS","US Immigration and Naturalization"
2,30,162.85,12.5,FM,,,,,"INS","US Immigration and Naturalization"
2,31,418.175,12.5,FM,,,,,"IRS","US Internal Revenue"
2,32,166,12.5,FM,,,,,"IRS","US Internal Revenue"
2,33,167,12.5,FM,,,,,"IRS","US Internal Revenue"
2,34,418.225,12.5,FM,,,,,"IRS CID","US Internal Revenue"
2,35,166.4625,12.5,FM,,,,,"T-COM","US Treasury common"
2,36,419.65,12.5,FM,,,,,"USPS INS",
3,0,857.2625,12.5,FM,skip,,,,"NAPV TR","Naperville city trunked system"
3,1,866.2375,12.5,FM,,,,,"NAPV TR","Naperville city trunked system"
3,2,866.625,12.5,FM,,,,,"NAPV TR","Naperville city trunked system"
3,3,867.0375,12.5,FM,,,,,"NAPV TR","Naperville city trunked system"
3,4,867.575,12.5,FM,skip,,,,"NAPV TR","Naperville city trunked system"
3,5,867.825,12.5,FM,,,,,"NAPV TR","Naperville city trunked system"
3,6,868.15,12.5,FM,,,,,"NAPV TR","Naperville city trunked system"
4,0,220.1659,0.01,USB,,,,,,
4,1,220.1608,0.01,USB,,,,,,
4,2,220.016,0.01,USB,,,,,,
4,3,220.316,0.01,USB,,,,,,
4,4,220.466,0.01,USB,,,,,,
4,5,220.616,0.01,USB,,,,,,
4,6,220.051,0.01,USB,,,,,,
4,7,220.201,0.01,USB,,,,,,
